Ticker,P/E,P/B,P/S,PEG,Dividend,Debt/Eq
NTCT,36.43,0.97,2.15,20.46,-,0.10
SKT,25.50,4.14,4.36,3.81,5.00%,2.91
NZF,-,0.95,12.25,-,1.70%,-
LAUR,31.61,2.57,1.55,2.11,-,0.30
CTRE,-,2.23,9.83,-,5.75%,0.85
TRN,23.23,1.91,0.98,2.32,4.34%,5.54
LILAK,-,1.00,0.40,-,-,-
GOF,-,-,-,-,13.12%,-
ENLT,68.29,2.07,10.03,-,-,-
CENTA,14.13,1.44,0.58,2.40,-,-
VKTX,-,12.46,-,-,-,0.00
ABCL,13.64,1.57,3.94,1.36,-,0.00
CENT,14.95,1.46,0.58,1.50,-,0.90
NMIH,6.87,1.21,3.65,0.47,-,0.25
ETWO,-,0.69,3.02,-,-,0.39
JACK,15.09,-,1.15,1.92,1.90%,-
FA,30.19,1.70,2.35,4.16,-,0.49
THRM,81.71,2.94,1.58,3.27,-,0.35
ADX,-,0.91,54.52,-,1.21%,-
IIPR,12.43,0.98,6.87,-,10.50%,0.15
VICR,60.86,4.08,4.64,3.04,-,0.00
FSLY,-,1.91,4.38,-,-,0.78
GDV,-,0.87,39.07,-,6.29%,-
CEPU,10.34,0.00,0.02,0.35,2.70%,-
AMLX,-,5.46,84.75,-,-,0.00
CARG,12.79,2.66,1.13,0.83,-,0.00
HRMY,10.87,4.76,4.28,-,-,0.48
BOH,9.15,1.62,2.86,1.02,5.78%,0.43
CRGY,20.17,2.29,0.61,-,5.85%,1.48
SAVE,-,1.27,0.34,-,-,2.33
LILA,-,1.00,0.39,-,-,4.11
CLBK,21.16,1.69,5.58,-,-,1.07
RKLB,-,2.76,8.83,-,-,0.18
MHO,3.81,0.90,0.44,0.30,-,0.45
CWH,6.96,6.40,0.27,0.20,11.17%,19.99
NAAS,-,31.54,18.56,-,-,1.15
GDRX,-,2.36,2.42,-,-,0.81
GOGL,3.98,0.96,1.66,-,8.74%,0.64
IDCC,21.97,2.77,4.04,0.86,2.07%,0.84
FLNG,9.80,2.04,5.31,-,8.72%,-
ATGE,50.02,1.21,1.28,3.33,-,0.46
MORF,-,4.45,26.77,-,-,0.00
ADUS,28.74,2.05,1.93,1.92,-,0.00
LRN,16.47,2.02,1.01,0.82,-,0.53
ESTE,3.32,0.88,1.08,0.09,-,0.64
BLU,-,4.67,114126.86,-,-,0.00
NEO,-,1.83,3.58,-,-,0.54
MTX,15.96,1.22,0.86,2.85,0.34%,0.67
NUV,-,1.00,23.21,-,3.82%,0.00
ETY,-,1.03,60.57,-,8.28%,-
SDRL,1.12,1.07,1.86,-,-,-
OSIS,18.93,2.94,1.53,2.37,-,0.59
SBCF,13.30,0.98,4.77,1.48,3.24%,0.05
AIR,20.86,1.69,0.95,-,-,0.17
